Record ID,project_status,Year announced,year_announced,tech_class,is_blue,Region major,region_EU27,Primary end use sector,T1_narrow,T2_broad,T3_strict,export_to_eu,log_capacity,cancel_A,cancel_B,cancel_C,cancel_D,operating
CETPROJH2842,On-hold (assumed),2021.0,2021,Waste,0,Europe (EU-27),1,Transport (road),0,1,0,0,5.680172609017068,0,0,0,1,0
CETPROJH2841,Decommissioned,2015.0,2015,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,4.795790545596741,0,1,1,0,0
CETPROJH2840,Permitted,2022.0,2022,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,6.313548046277095,0,0,0,0,0
CETPROJH2839,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Unknown,0,1,0,0,10.239995502805316,0,0,0,1,0
CETPROJH2838,On-hold (assumed),2019.0,2019,Green,0,Europe (EU-27),1,Unknown,0,1,0,0,3.6109179126442243,0,0,0,1,0
CETPROJH2837,Fully commissioned,2019.0,2019,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,3.5263605246161616,0,0,0,0,1
CETPROJH2836,On-hold (assumed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.0369526024136295,0,0,0,1,0
CETPROJH2835,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (rail),0,1,0,0,3.4011973816621555,0,0,0,0,1
CETPROJH2834,Permitted,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.996452088619021,0,0,0,0,0
CETPROJH2833,Feasibility,2021.0,2021,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,6.395261598115449,0,0,0,0,0
CETPROJH2832,On-hold (confirmed),2019.0,2019,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,7.962415680121064,0,0,1,1,0
CETPROJH2831,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,7.023758954738443,0,0,0,1,0
CETPROJH2830,Under construction,2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,6.419994928147142,0,0,0,0,0
CETPROJH2829,Fully commissioned,2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,7.105786129481271,0,0,0,0,1
CETPROJH2828,Feasibility,2019.0,2019,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,8.527341522468053,0,0,0,0,0
CETPROJH2827,Design,2019.0,2019,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,6.238324625039508,0,0,0,0,0
CETPROJH2826,Fully commissioned,2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,8.071218539969863,0,0,0,0,1
CETPROJH2825,Under construction,2020.0,2020,Green,0,Europe (EU-27),1,Power & heat,1,1,1,0,8.77971129020447,0,0,0,0,0
CETPROJH2824,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,10.120130017507979,0,0,0,1,0
CETPROJH2823,Under construction,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,9.472781556562168,0,0,0,0,0
CETPROJH2822,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,10.714439990727769,0,0,0,1,0
CETPROJH2821,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,6.698268054115413,0,0,0,0,1
CETPROJH2820,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,0.0,0,0,0,0,1
CETPROJH2819,Under construction,2019.0,2019,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,7.3783837129967145,0,0,0,0,0
CETPROJH2818,Design,2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,8.696175846944678,0,0,0,0,0
CETPROJH2817,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,8.558910784768106,0,0,0,1,0
