CATE_dml,CATE_t_learner,log_capacity,years_since_announce,region_eu,region_na,region_asia,post_cbam_proposal,sponsor_corporate
-0.0429495420275784,-0.014345042018988605,9.035510680940524,6.0,0,0,1,0,0
-0.02859278787662376,-0.014376475715711661,10.082386592528753,6.0,0,0,1,0,0
-0.051123302089359425,0.12201168924007197,11.48108385911407,15.0,0,1,0,0,0
0.024543382955693048,0.03128895103242358,6.46302945692067,6.0,0,0,1,0,0
-0.0007709298730577366,-0.020951392652834036,11.395154929235721,6.0,0,0,1,0,0
-0.0029562529172854025,0.10614866992942444,5.303304908059076,10.0,0,0,1,0,0
-0.04681242912007838,0.03346508359449151,3.4011973816621555,7.0,0,0,1,0,0
-0.016616696772627587,0.09932941674468894,3.8918202981106265,9.0,0,0,1,0,0
-0.03306071307454232,0.08539295397764461,5.170483995038151,8.0,0,0,1,0,0
-0.0007692978591100309,0.02073788515145264,0.0,9.0,0,0,1,0,0
-0.052947136318183784,0.11942532884264337,11.43107529148072,15.0,0,1,0,0,0
0.011121259857403481,0.26624650213732276,3.2188758248682006,15.0,0,0,1,0,0
0.027468637645490075,0.10962241893634354,2.1972245773362196,5.0,1,0,0,1,0
0.02062242497993605,-0.10954246421248848,9.994287576862567,4.0,1,0,0,1,0
0.08599671992628136,0.03466328417799969,12.337105293891872,4.0,0,0,0,1,0
0.1817141576618933,0.11069228542375242,6.035481432524756,7.0,1,0,0,0,0
0.13531779457509355,0.07390110595696492,7.38025578842646,5.0,1,0,0,1,0
-0.0458558484408487,0.0487562243820951,8.296297112642508,5.0,1,0,0,1,0
0.1958450536688049,0.11526232034104167,6.1779441140506,7.0,1,0,0,0,0
0.010414435283439926,-0.05704249931372754,9.811975152030021,6.0,1,0,0,0,0
0.05805670794000523,0.11800775209801304,5.480638923341991,6.0,1,0,0,0,0
0.20480629832085348,0.11389579470412396,6.267200548541362,6.0,1,0,0,0,0
0.007509524242276348,-0.06764434065448846,8.006700845440367,7.0,1,0,0,0,0
0.003337625440989202,0.15715867883163634,1.0986122886681098,8.0,1,0,0,0,0
0.03124084821244859,0.17312155277540192,5.081404364984463,9.0,1,0,0,0,0
0.015483881172809402,0.1249259518850802,4.990432586778736,7.0,1,0,0,0,0
0.024289590832308087,-0.012137638083524457,10.152415802824065,5.0,1,0,0,1,0
0.014253964837779394,0.027051966164287046,9.577064651767916,5.0,1,0,0,1,0
0.13531779457509355,0.07390110595696492,7.38025578842646,5.0,1,0,0,1,0
0.17334879625405264,0.09713399572546447,5.978885764901122,6.0,1,0,0,0,0
0.25647490308772913,0.13472710186595255,6.688354713946762,8.0,1,0,0,0,0
0.008906526558818491,0.006774195857804366,9.61587214452889,7.0,1,0,0,0,0
0.11225374589652996,0.2923877586318045,0.6931471805599453,15.0,1,0,0,0,0
-0.03138848537362839,0.28289937023656964,6.582025138892826,17.0,1,0,0,0,0
0.1595431414950945,0.28396904247403043,0.6931471805599453,20.0,1,0,0,0,0
0.07740702098505177,0.06052896076796221,12.206077645517674,7.0,1,0,0,0,0
0.07768573040271089,0.11915913985178406,12.367345048436391,8.0,1,0,0,0,0
0.0860536273699784,0.12035731229461505,11.954767502920442,5.0,1,0,0,1,0
0.08293223663030133,0.06173536011910683,12.611541086966115,7.0,1,0,0,0,0
0.2815325609925613,0.096762066997712,6.688354713946762,7.0,1,0,0,0,0
0.013321796019349536,0.11622223776802473,0.0,5.0,1,0,0,1,0
0.010643119719553486,-0.0614138507525436,9.745956164549392,6.0,1,0,0,0,0
0.2811480842191077,0.09150021662072463,6.811244378601294,6.0,1,0,0,0,0
0.12173522391970831,0.28317845863927826,1.791759469228055,23.0,1,0,0,0,0
0.07874837615225302,0.29096728879546613,3.871201010907891,13.0,1,0,0,0,0
0.011751598503564505,0.03397282563287628,10.491301994830229,5.0,0,0,0,1,0
