Region major,cbam_endex,log_cap,year_announced,is_blue,cancel_B,cate,cate_lo,cate_hi,cate_significant
Europe (EU-27),0,4.110873864173311,2020,0,0,0.41968548614207407,0.07565651310340532,0.7637144591807428,1
Europe (EU-27),0,9.021598247379305,2020,0,1,-0.03742321617009053,-0.2723114224664851,0.19746499012630397,0
Europe (EU-27),1,5.220355825078324,2020,0,0,0.4078369438328054,-0.13341793419741943,0.9490918218630298,0
Europe (EU-27),0,0.6931471805599453,2018,0,0,0.32967522816386396,0.014407434141063102,0.6449430221866648,1
Europe (EU-27),0,4.574710978503383,2017,0,0,0.4345201032573086,0.10012579037567565,0.7689144161389414,1
Europe (EU-27),0,4.30406509320417,2019,0,0,0.4594530933568751,0.17581661716160613,0.7430895695521442,1
Europe (EU-27),0,5.4680601411351315,2020,0,0,0.4312818763649287,-0.07369501841560921,0.9362587711454664,0
Europe (EU-27),0,5.583496308781699,2018,0,0,0.4538059042746357,0.038824179369895795,0.8687876291793759,1
Europe (EU-27),1,10.021315031649332,2019,0,1,-0.016699935013024986,-0.24520671377005476,0.21180684374400477,0
Europe (EU-27),0,4.330733340286331,2021,0,0,0.3758353013349869,0.043772696554349566,0.7078979061156239,1
Europe (EU-27),0,0.0,2011,0,1,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,6.415096959171596,2019,0,0,0.14555297489531804,-0.18792071377609146,0.4790266635667273,0
Europe (EU-27),1,12.144202560946876,2018,1,1,0.006937068262564455,-0.20732069833474645,0.22119483485987532,0
Europe (EU-27),0,5.641907070938114,2019,0,0,0.4370848007250416,0.03782750583955552,0.8363420956105273,1
Europe (EU-27),1,8.696175846944678,2020,0,1,0.0009166141900240616,-0.2765263062022655,0.2783595345823135,0
Europe (EU-27),1,8.664923303440572,2020,0,1,0.0019367936011077727,-0.2686793638481254,0.2725529510503409,0
Europe (EU-27),1,6.118097198041348,2020,1,1,0.26714146815998513,-0.026792175043849564,0.5610751113638197,0
Europe (EU-27),0,9.945636666044287,2020,0,1,-0.0520412132157841,-0.3003068673842079,0.19622444095263963,0
Europe (EU-27),0,8.328692583545568,2020,0,1,-0.01998479217549176,-0.2696735145800383,0.22970393022905472,0
Europe (EU-27),0,3.367295829986474,2013,0,1,-0.03440473486771042,-0.47434404357925314,0.40553457384383235,0
Europe (EU-27),0,2.70805020110221,2010,0,1,-0.058466813628966406,-0.4509157703081679,0.33398214305023477,0
Europe (EU-27),0,4.330733340286331,2021,0,0,0.3758353013349869,0.043772696554349566,0.7078979061156239,1
Europe (EU-27),0,2.302585092994046,2016,0,0,0.20439661451084315,-0.25647991276723947,0.6652731417889256,0
Europe (EU-27),0,0.0,2016,0,0,0.29279117617023204,-0.2026097773580301,0.7881921296984944,0
Europe (EU-27),0,4.634728988229636,2021,0,0,0.38613302804246696,0.07404389200566902,0.6982221640792647,1
Europe (EU-27),1,7.026426808699636,2021,0,0,0.12780205138695458,-0.003301307919354707,0.2589054106932638,0
Europe (EU-27),0,4.394449154672439,2021,0,0,0.3742475767689732,0.04344437651494798,0.7050507770229986,1
Europe (EU-27),0,5.2574953720277815,2019,0,0,0.45692678742221804,-0.02912971861644359,0.9429832934608795,0
Europe (EU-27),1,6.513230110912307,2017,0,0,0.10201347142617681,-0.1795439569681396,0.3835708998204933,0
Europe (EU-27),0,0.0,2011,0,1,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,1.9459101490553132,2012,0,1,-0.047489975246220006,-0.5695248018080316,0.47454485131559115,0
Europe (EU-27),0,0.0,2010,0,0,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,0.0,2019,0,1,0.32704430476802765,-0.07022771947552697,0.7243163290115822,0
Asia-Pacific,0,3.7612001156935624,2022,0,0,0.11462583965422986,-0.16729266667825007,0.39654434598670973,0
Asia-Pacific,0,1.6094379124341003,2021,0,0,0.12711629232347368,-0.22381336595002446,0.47804595059697175,0
Asia-Pacific,1,2.995732273553991,2022,0,0,0.11067970616202057,-0.18688732887260218,0.40824674119664334,0
Asia-Pacific,1,5.6131281063880705,2021,0,0,0.21650170967687063,-0.17573226062682423,0.6087356799805654,0
Asia-Pacific,0,2.6390573296152584,2022,0,0,0.06288795715233614,-0.1857526903334476,0.31152860463812,0
Asia-Pacific,0,4.356708826689592,2022,0,0,0.12889236124843842,-0.1613805752830776,0.41916529777995454,0
Asia-Pacific,0,0.0,2021,0,0,0.20470426772029962,-0.11262828084384438,0.5220368162844434,0
Asia-Pacific,0,0.6931471805599453,2021,0,0,0.16229605763744176,-0.10726168659647853,0.431853801871362,0
Asia-Pacific,0,5.973809611869261,2021,0,0,0.15965548928148487,-0.0766583535769216,0.3959693321398914,0
Asia-Pacific,0,2.302585092994046,2013,0,0,0.12135844740431226,-0.2919167035908426,0.5346335983994671,0
Asia-Pacific,1,4.5217885770490405,2020,0,0,0.22435113980319815,-0.13871114506093737,0.5874134246673333,0
Asia-Pacific,1,7.467942332285852,2021,0,1,-0.09879160031113464,-0.3187707769436221,0.12118757632135259,0
