project_id,year_calendar,is_blue_ccs,event_any_yr,p_M1,loss_M1,p_M2,loss_M2,p_M3,loss_M3
414,2024,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
414,2025,1,0,1.2160260541340925e-08,1.2160260650202038e-08,4.630057417560736e-09,4.6300574592701e-09,1.943862463005192e-09,1.943862517285989e-09
414,2026,1,0,1.0946562930872393e-05,1.094662284493749e-05,5.982283628416604e-06,5.982301522399602e-06,2.1592097111891672e-06,2.159212042235565e-06
415,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
415,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
415,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
416,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
416,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
416,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
417,2022,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
417,2023,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
417,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
417,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
417,2026,0,0,1e-10,1.000000082790371e-10,2.5792144162164275e-10,2.57921461999055e-10,1e-10,1.000000082790371e-10
418,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
418,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
418,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
419,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
419,2025,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
419,2026,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
420,2023,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
420,2024,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
420,2025,1,0,1.2836529602175484e-10,1.2836531838302897e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
420,2026,1,0,1.1555459595716234e-07,1.1555460267941974e-07,3.683448182124879e-08,3.6834482476421045e-08,4.213096136294034e-08,4.2130962273786456e-08
421,2024,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
421,2025,1,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
421,2026,1,0,1.2160260541340925e-08,1.2160260650202038e-08,4.630057417560736e-09,4.6300574592701e-09,1.6025116483389616e-09,1.6025116801949225e-09
422,2024,0,0,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10,1e-10,1.000000082790371e-10
