project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
595,0,4.795790545596741,North_America,Unknown,Unknown,PEM,2022.0,4,0,0
596,1,0.0,Asia,Other,Inpex Corporation,Blue_CCS,2022.0,4,0,0
597,0,1.791759469228055,MENA,Unknown,Unknown,PEM,2020.0,6,0,0
598,0,0.6931471805599453,MENA,Unknown,Unknown,PEM,2022.0,4,0,0
599,0,3.4339872044851463,EU,Unknown,Unknown,PEM,2022.0,4,0,0
600,0,3.044522437723423,EU,Other,"Endesa, S.A.",PEM,2022.0,4,0,0
601,1,0.0,Other_Europe,Oil_major,Equinor ASA,Blue_CCS,2022.0,4,0,0
602,0,0.0,EU,Unknown,Unknown,PEM,2022.0,4,0,0
603,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2020.0,6,0,0
604,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2022.0,4,0,0
605,1,0.0,North_America,Other,JERA Co. Inc.,Blue_CCS,2022.0,2,1,1
606,0,4.342375829044089,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
607,0,0.0,North_America,Unknown,Unknown,PEM,2022.0,4,0,0
608,0,2.3978952727983707,Other,Other,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,PEM,2020.0,6,0,0
609,1,0.0,North_America,Other,8 Rivers Capital LLC,Blue_CCS,2022.0,4,0,0
610,0,7.496097345175956,North_America,Other,HIF Global,PEM,2022.0,4,0,0
611,1,0.0,North_America,Other,KeyState Energy,Blue_CCS,2022.0,4,0,0
612,1,0.0,North_America,Oil_major,Shell plc,Blue_CCS,2022.0,4,0,0
613,1,0.0,North_America,Other,Woodside Energy Group Ltd,Blue_CCS,2022.0,4,0,0
614,1,0.0,North_America,Other,"Clean Hydrogen Works LA-1, L.L.C.",Blue_CCS,2022.0,4,0,0
615,0,0.6931471805599453,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
616,0,1.0986122886681098,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
617,0,4.148990563335426,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
618,0,2.3978952727983707,EU,Other,Lhyfe SA,PEM,2022.0,4,0,0
619,0,1.6094379124341003,EU,Unknown,Unknown,PEM,2022.0,4,0,0
620,0,6.90875477931522,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
621,0,5.315026980110984,EU,Unknown,Unknown,PEM,2020.0,6,0,0
622,0,8.517393171418904,Other,Unknown,Unknown,PEM,2021.0,5,0,0
623,0,0.8109302162163288,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
624,1,0.0,North_America,Other,MMEX Resources Corporation,Blue_CCS,2021.0,5,0,0
625,0,1.3987168811184478,EU,Unknown,Unknown,PEM,2021.0,5,0,0
626,0,0.6981347220709844,EU,Unknown,Unknown,PEM,2020.0,6,0,0
627,0,1.33500106673234,EU,Unknown,Unknown,PEM,2022.0,4,0,0
628,0,4.61512051684126,EU,Unknown,Unknown,PEM,2022.0,4,0,0
629,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2022.0,4,0,0
630,0,0.23111172096338664,EU,Unknown,Unknown,PEM,2021.0,5,0,0
631,0,2.0794415416798357,EU,Unknown,Unknown,PEM,2022.0,4,0,0
632,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2007.0,19,0,0
633,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2020.0,6,0,0
634,0,4.5217885770490405,EU,Unknown,Unknown,PEM,2021.0,5,0,0
635,0,1.6094379124341003,EU,Unknown,Unknown,PEM,2021.0,5,0,0
636,0,0.09531017980432487,EU,Unknown,Unknown,PEM,2019.0,7,0,0
637,1,0.0,Other,Other,Energean,Blue_CCS,2021.0,5,0,0
638,0,3.044522437723423,EU,Unknown,Unknown,PEM,2020.0,6,0,0
639,0,2.3978952727983707,EU,Unknown,Unknown,PEM,2020.0,6,0,0
640,0,0.0,Other,Unknown,Unknown,PEM,2002.0,24,0,0
641,0,0.0,Other,Unknown,Unknown,PEM,2002.0,24,0,0
642,0,3.6620219999440535,North_America,Unknown,Unknown,PEM,2021.0,2,1,1
643,0,0.0,EU,Unknown,Unknown,PEM,2017.0,9,0,0
644,0,4.2626798770413155,EU,Unknown,Unknown,PEM,2022.0,2,1,1
645,0,4.795790545596741,North_America,Unknown,Unknown,PEM,2021.0,2,1,2
646,0,0.019802627296179712,EU,Unknown,Unknown,PEM,2018.0,8,0,0
647,1,0.0,EU,Other,Neste Oyj,Blue_CCS,2021.0,5,0,0
648,0,0.6981347220709844,Other,Unknown,Unknown,PEM,2016.0,10,0,0
649,0,1.3862943611198906,Other_Europe,Unknown,Unknown,PEM,2020.0,6,0,0
650,0,0.9162907318741551,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
651,1,0.0,Other_Europe,Other,ZEG Power AS,Blue_CCS,2019.0,7,0,0
652,0,3.044522437723423,Other_Europe,Other,Greenstat Energy As,PEM,2022.0,4,0,0
653,0,1.3862943611198906,Other_Europe,Unknown,Unknown,PEM,2020.0,6,0,0
654,1,0.0,Other_Europe,Other,Barents,Blue_CCS,2019.0,7,0,0
655,0,3.2188758248682006,Other_Europe,Other,Yara International ASA,PEM,2021.0,5,0,0
656,0,1.252762968495368,Other_Europe,Unknown,Unknown,PEM,2019.0,7,0,0
657,1,0.0,Other_Europe,Other,CapeOmega AS,Blue_CCS,2021.0,2,1,1
658,0,1.791759469228055,North_America,Unknown,Unknown,PEM,2020.0,6,0,0
659,0,0.9162907318741551,EU,Other,Eurowind Energy A/S,PEM,2016.0,10,0,0
660,0,1.791759469228055,North_America,Unknown,Unknown,PEM,2020.0,6,0,0
661,0,3.9318256327243257,EU,Other,European Energy A/S,PEM,2022.0,4,0,0
662,0,0.8109302162163288,North_America,Unknown,Unknown,PEM,2019.0,7,0,0
663,0,0.019802627296179712,Other_Europe,Unknown,Unknown,PEM,2016.0,10,0,0
664,0,3.9627161197436642,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
665,0,2.3978952727983707,Other_Europe,Other,Carlton Power Limited,PEM,2022.0,4,0,0
666,0,4.795790545596741,North_America,Unknown,Unknown,PEM,2021.0,5,0,0
667,0,3.58351893845611,Other_Europe,Other,Carlton Power Limited,PEM,2022.0,4,0,0
668,1,0.0,Other_Europe,Other,Exxon Mobil Corporation,Blue_CCS,2020.0,6,0,0
669,1,0.0,Other_Europe,Oil_major,Equinor ASA,Blue_CCS,2022.0,4,0,0
670,0,0.0,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0
671,1,0.0,Other_Europe,Other,"McDermott International, Inc.",Blue_CCS,2022.0,4,0,0
672,0,6.906754778648554,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
673,0,1.0986122886681098,Other_Europe,Unknown,Unknown,PEM,2022.0,4,0,0
674,1,0.0,Other_Europe,Unknown,Unknown,Blue_CCS,2021.0,5,0,0
675,1,0.0,Other_Europe,Other,ARUP,Blue_CCS,2021.0,2,1,1
